time_of_day,lane_A_cars,lane_B_cars,lane_C_cars,lane_D_cars,signal_duration_A,signal_duration_B
evening,88,136,52,13,39,61
evening,181,74,65,71,70,30
night,46,49,68,76,48,52
night,40,33,54,47,54,46
morning,34,100,89,24,25,75
morning,134,117,70,28,53,47
afternoon,164,123,57,40,57,43
night,7,28,21,52,20,80
evening,127,137,49,95,48,52
morning,121,94,30,32,56,44
evening,79,137,46,25,36,64
evening,90,177,83,18,33,67
evening,176,85,62,54,67,33
morning,139,69,39,19,66,34
night,46,40,88,60,53,47
evening,151,73,52,83,67,33
night,41,23,66,100,64,36
evening,137,123,65,84,52,48
afternoon,147,148,84,29,49,51
afternoon,158,111,94,32,58,42
evening,138,139,20,45,49,51
night,26,35,23,28,42,58
evening,134,76,44,70,63,37
night,17,6,46,92,73,27
evening,157,145,84,79,51,49
evening,160,67,50,12,70,30
evening,128,106,47,74,54,46
night,13,3,46,52,81,19
morning,68,31,41,57,68,32
afternoon,156,142,33,70,52,48
morning,94,62,68,61,60,40
morning,83,91,31,74,47,53
evening,106,94,53,58,53,47
morning,111,46,43,81,70,30
night,12,48,12,11,20,80
night,14,38,70,36,26,74
morning,102,93,12,37,52,48
evening,87,175,91,97,33,67
night,35,30,37,14,53,47
morning,69,114,79,28,37,63
evening,95,113,99,75,45,55
afternoon,53,74,66,43,41,59
evening,77,128,69,28,37,63
evening,129,104,56,17,55,45
afternoon,92,145,32,28,38,62
evening,111,84,74,63,56,44
afternoon,175,120,74,28,59,41
night,5,10,39,97,33,67
evening,78,166,91,84,31,69
afternoon,135,135,96,53,50,50
afternoon,60,77,42,53,43,57
morning,41,50,89,61,45,55
morning,131,118,91,26,52,48
afternoon,173,148,44,75,53,47
morning,55,119,38,61,31,69
morning,109,56,70,23,66,34
morning,101,78,13,89,56,44
night,10,7,50,95,58,42
afternoon,70,60,58,10,53,47
evening,73,163,38,15,30,70
morning,113,95,80,81,54,46
evening,98,175,74,39,35,65
afternoon,89,115,61,60,43,57
evening,151,85,78,86,63,37
morning,118,43,87,13,73,27
morning,131,116,43,39,53,47
afternoon,104,138,59,65,42,58
night,49,25,28,79,66,34
morning,95,118,46,72,44,56
evening,114,113,58,26,50,50
morning,79,34,76,32,69,31
night,44,42,100,41,51,49
afternoon,175,130,34,22,57,43
afternoon,82,51,99,14,61,39
afternoon,125,135,57,45,48,52
evening,146,72,43,85,66,34
night,18,42,90,89,30,70
night,0,37,67,24,0,100
morning,83,92,79,55,47,53
morning,73,58,64,55,55,45
evening,155,111,82,44,58,42
morning,117,38,43,74,75,25
morning,117,108,39,93,52,48
evening,92,138,37,87,40,60
night,38,16,46,32,70,30
night,29,39,31,11,42,58
night,48,24,27,22,66,34
night,39,30,70,27,56,44
night,26,25,22,52,50,50
evening,150,180,66,78,45,55
evening,102,160,70,43,38,62
evening,126,91,45,18,58,42
afternoon,70,57,82,84,55,45
morning,51,31,31,47,62,38
evening,70,70,27,78,50,50
night,36,10,45,64,78,22
morning,48,39,33,53,55,45
night,5,0,26,84,100,0
morning,86,64,51,30,57,43
morning,132,69,86,77,65,35
afternoon,101,127,93,53,44,56
morning,30,93,37,71,24,76
night,23,33,40,21,41,59
evening,198,62,57,11,76,24
afternoon,79,145,60,61,35,65
afternoon,112,140,32,83,44,56
afternoon,140,115,74,15,54,46
afternoon,127,129,34,41,49,51
morning,130,20,78,36,86,14
morning,85,23,35,73,78,22
evening,190,114,26,79,62,38
evening,89,169,18,50,34,66
night,31,39,90,53,44,56
night,6,48,81,59,11,89
morning,33,103,38,58,24,76
evening,168,138,95,20,54,46
afternoon,87,147,84,66,37,63
evening,134,137,10,65,49,51
night,5,43,85,51,10,90
night,28,15,64,64,65,35
night,45,12,87,53,78,22
morning,114,27,24,60,80,20
night,40,41,13,22,49,51
night,43,35,17,59,55,45
morning,146,79,46,59,64,36
afternoon,109,139,40,48,43,57
afternoon,152,130,69,60,53,47
morning,100,99,91,87,50,50
night,44,20,35,27,68,32
evening,155,85,27,70,64,36
night,45,9,52,25,83,17
night,23,16,43,12,58,42
afternoon,56,78,99,20,41,59
morning,101,81,52,17,55,45
morning,140,88,65,84,61,39
evening,173,97,57,44,64,36
morning,65,25,71,46,72,28
evening,186,169,98,39,52,48
night,18,28,100,41,39,61
evening,89,178,37,12,33,67
evening,196,73,84,33,72,28
morning,55,87,70,55,38,62
afternoon,138,75,91,76,64,36
evening,134,137,11,64,49,51
evening,171,153,67,17,52,48
afternoon,93,132,83,36,41,59
evening,133,115,46,76,53,47
morning,73,52,44,16,58,42
afternoon,159,113,52,86,58,42
evening,102,119,62,63,46,54
evening,178,122,20,86,59,41
afternoon,87,43,62,66,66,34
afternoon,145,106,86,11,57,43
afternoon,56,129,68,39,30,70
morning,67,69,55,17,49,51
evening,119,85,26,12,58,42
afternoon,162,119,48,32,57,43
night,26,24,33,42,52,48
morning,136,61,17,88,69,31
afternoon,88,143,18,74,38,62
morning,103,46,99,22,69,31
evening,116,158,43,43,42,58
morning,128,104,87,90,55,45
night,6,16,53,79,27,73
night,44,17,88,97,72,28
morning,108,47,43,20,69,31
evening,176,136,49,100,56,44
evening,159,109,11,89,59,41
night,18,25,53,69,41,59
afternoon,87,65,33,33,57,43
night,45,21,93,67,68,32
evening,179,125,55,59,58,42
morning,78,53,55,14,59,41
morning,76,107,32,53,41,59
afternoon,146,92,36,16,61,39
morning,125,32,40,87,79,21
afternoon,130,73,32,100,64,36
afternoon,175,46,59,80,79,21
evening,180,67,29,84,72,28
night,29,8,26,27,78,22
morning,68,53,19,14,56,44
night,7,4,83,83,63,37
afternoon,134,146,18,84,47,53
evening,132,178,24,27,42,58
evening,111,99,31,65,52,48
afternoon,83,146,65,82,36,64
evening,165,151,93,83,52,48
afternoon,155,67,35,82,69,31
morning,92,21,52,96,81,19
evening,145,95,42,48,60,40
afternoon,135,134,38,45,50,50
night,8,48,32,76,14,86
morning,130,102,50,18,56,44
morning,45,68,57,14,39,61
afternoon,55,150,64,73,26,74
afternoon,136,125,79,21,52,48
night,49,18,60,50,73,27
afternoon,82,69,37,21,54,46
evening,142,74,43,73,65,35
morning,142,107,89,31,57,43
night,34,41,17,78,45,55
morning,45,109,13,51,29,71
morning,109,117,77,95,48,52
evening,86,88,80,59,49,51
afternoon,156,140,41,20,52,48
evening,81,111,38,76,42,58
morning,125,59,57,80,67,33
night,24,28,50,15,46,54
morning,37,54,24,80,40,60
morning,66,89,26,64,42,58
evening,99,81,21,12,55,45
night,19,13,28,79,59,41
night,42,12,81,17,77,23
evening,71,89,20,31,44,56
night,38,9,10,97,80,20
night,4,25,36,52,13,87
afternoon,68,43,62,96,61,39
evening,87,148,38,91,37,63
morning,72,99,98,97,42,58
morning,69,68,17,68,50,50
night,2,19,87,68,9,91
morning,92,38,90,73,70,30
night,24,3,38,22,88,12
evening,109,129,19,53,45,55
morning,54,106,55,64,33,67
evening,137,157,47,28,46,54
evening,97,76,37,49,56,44
morning,50,45,14,39,52,48
morning,56,29,61,99,65,35
morning,39,88,26,86,30,70
afternoon,73,53,58,31,57,43
night,39,32,61,84,54,46
night,36,24,59,86,60,40
afternoon,64,54,14,50,54,46
afternoon,54,111,82,42,32,68
morning,51,51,14,31,50,50
evening,86,64,44,10,57,43
afternoon,154,95,17,81,61,39
morning,116,81,73,67,58,42
night,17,16,81,73,51,49
night,36,27,36,52,57,43
night,2,39,10,91,4,96
morning,82,59,53,84,58,42
night,7,34,16,74,17,83
morning,102,22,26,14,82,18
evening,148,133,61,48,52,48
evening,82,86,12,73,48,52
night,16,15,51,90,51,49
night,1,17,78,29,5,95
afternoon,65,51,10,52,56,44
afternoon,156,107,41,65,59,41
afternoon,144,62,48,91,69,31
afternoon,78,103,99,16,43,57
evening,135,116,59,94,53,47
afternoon,162,96,20,81,62,38
afternoon,134,145,43,73,48,52
night,22,10,78,41,68,32
morning,102,96,44,98,51,49
evening,96,104,64,60,48,52
evening,76,125,64,31,37,63
afternoon,116,75,75,97,60,40
morning,37,48,25,85,43,57
evening,175,107,49,71,62,38
afternoon,97,65,62,25,59,41
afternoon,169,88,83,30,65,35
evening,95,67,12,47,58,42
night,40,16,53,16,71,29
morning,142,98,97,92,59,41
evening,182,103,83,52,63,37
evening,194,103,38,44,65,35
night,27,5,100,98,84,16
evening,135,73,47,85,64,36
morning,117,37,88,15,75,25
night,37,42,27,14,46,54
evening,74,134,31,48,35,65
afternoon,123,122,58,88,50,50
night,13,9,93,37,59,41
night,18,30,28,70,37,63
night,8,39,74,97,17,83
night,4,26,35,65,13,87
afternoon,160,49,92,23,76,24
evening,196,151,36,48,56,44
afternoon,109,53,87,99,67,33
afternoon,129,121,25,17,51,49
night,8,20,58,28,28,72
morning,33,109,76,69,23,77
night,45,15,93,80,75,25
morning,112,51,76,43,68,32
night,10,37,87,22,21,79
afternoon,75,62,86,25,54,46
night,26,2,63,15,92,8
evening,88,170,44,91,34,66
night,29,21,69,36,57,43
afternoon,148,59,64,34,71,29
morning,36,36,13,73,50,50
afternoon,96,74,66,94,56,44
afternoon,173,59,54,67,74,26
evening,145,135,46,41,51,49
afternoon,97,106,68,21,47,53
afternoon,93,74,71,30,55,45
evening,113,80,21,80,58,42
afternoon,80,145,91,68,35,65
afternoon,106,121,73,73,46,54
afternoon,153,132,61,36,53,47
night,25,25,55,55,50,50
evening,112,152,56,34,42,58
morning,54,68,67,96,44,56
night,11,34,50,31,24,76
night,41,6,22,43,87,13
evening,117,99,77,92,54,46
evening,172,100,29,62,63,37
morning,101,39,69,71,72,28
night,22,47,21,36,31,69
afternoon,90,138,25,21,39,61
morning,107,40,50,42,72,28
evening,77,73,32,37,51,49
afternoon,167,144,85,72,53,47
evening,187,85,97,88,68,32
afternoon,163,76,38,37,68,32
afternoon,91,139,82,25,39,61
morning,41,94,56,39,30,70
night,26,14,13,98,65,35
afternoon,53,150,65,20,26,74
night,43,47,78,57,47,53
night,45,40,52,21,52,48
evening,148,108,77,88,57,43
night,12,18,100,94,40,60
afternoon,76,105,26,33,41,59
evening,172,147,63,92,53,47
morning,81,34,52,24,70,30
afternoon,180,53,92,68,77,23
afternoon,149,105,93,100,58,42
night,48,6,43,22,88,12
morning,39,117,12,81,25,75
morning,58,26,31,83,69,31
morning,107,116,89,17,47,53
night,1,34,13,11,2,98
morning,43,94,54,13,31,69
afternoon,75,104,28,74,41,59
evening,106,78,66,71,57,43
afternoon,77,45,34,45,63,37
night,35,47,19,26,42,58
night,11,26,66,99,29,71
morning,76,41,99,55,64,36
night,45,46,11,12,49,51
afternoon,71,59,47,77,54,46
night,24,3,17,18,88,12
night,6,19,67,15,24,76
morning,125,79,61,29,61,39
night,2,32,40,40,5,95
evening,192,178,81,91,51,49
night,30,12,51,33,71,29
morning,107,105,28,27,50,50
morning,133,38,57,59,77,23
morning,109,72,17,99,60,40
afternoon,157,104,14,30,60,40
night,30,27,57,93,52,48
morning,145,110,18,98,56,44
afternoon,135,79,23,18,63,37
afternoon,101,123,69,70,45,55
evening,88,114,74,88,43,57
morning,136,53,21,26,71,29
afternoon,85,148,28,27,36,64
morning,61,31,13,92,66,34
morning,32,106,83,82,23,77
evening,179,132,97,58,57,43
evening,196,136,47,92,59,41
evening,161,65,91,35,71,29
evening,140,86,88,51,61,39
night,0,45,41,37,0,100
morning,92,47,48,25,66,34
afternoon,107,135,69,19,44,56
evening,158,128,92,92,55,45
night,19,38,53,80,33,67
afternoon,95,134,60,41,41,59
evening,167,91,63,18,64,36
morning,50,94,92,87,34,66
night,0,48,89,62,0,100
evening,160,60,24,79,72,28
morning,131,80,50,67,62,38
evening,75,111,18,86,40,60
night,21,7,91,50,75,25
morning,89,29,20,44,75,25
evening,77,93,100,54,45,55
afternoon,134,98,90,10,57,43
morning,57,39,22,83,59,41
evening,193,148,17,72,56,44
evening,92,165,77,57,35,65
morning,78,34,92,67,69,31
night,24,23,87,76,51,49
morning,129,107,36,60,54,46
afternoon,75,108,87,77,40,60
morning,109,33,28,20,76,24
afternoon,108,103,69,12,51,49
afternoon,120,58,50,54,67,33
morning,52,34,26,17,60,40
evening,112,148,42,48,43,57
afternoon,146,106,73,73,57,43
evening,169,78,87,30,68,32
night,14,11,38,98,56,44
afternoon,129,138,22,10,48,52
evening,149,139,10,59,51,49
evening,194,167,78,44,53,47
night,3,13,43,63,18,82
afternoon,157,109,49,26,59,41
morning,144,106,63,71,57,43
evening,123,163,11,17,43,57
night,30,4,40,51,88,12
night,30,1,22,90,96,4
morning,44,95,62,56,31,69
evening,161,67,74,15,70,30
morning,32,80,18,72,28,72
night,7,13,63,81,35,65
evening,187,164,17,82,53,47
evening,186,162,67,88,53,47
evening,162,89,34,99,64,36
evening,85,129,81,56,39,61
night,48,11,24,68,81,19
morning,133,117,97,53,53,47
night,20,9,83,77,68,32
afternoon,121,97,61,10,55,45
morning,116,51,75,10,69,31
morning,46,107,90,75,30,70
night,8,46,66,19,14,86
afternoon,129,42,93,92,75,25
night,29,38,42,18,43,57
afternoon,105,110,26,82,48,52
night,35,39,65,62,47,53
afternoon,129,53,22,19,70,30
night,38,3,81,44,92,8
afternoon,57,41,67,76,58,42
night,20,35,41,12,36,64
night,21,38,18,76,35,65
evening,111,139,58,96,44,56
evening,148,166,75,36,47,53
night,35,16,27,46,68,32
morning,108,88,56,91,55,45
morning,118,97,40,52,54,46
morning,95,26,73,38,78,22
evening,169,78,72,30,68,32
night,42,33,89,88,56,44
evening,184,116,62,85,61,39
night,18,31,60,17,36,64
afternoon,53,42,83,36,55,45
morning,125,44,12,24,73,27
afternoon,142,125,97,74,53,47
night,36,47,28,16,43,57
afternoon,146,40,86,85,78,22
evening,122,169,36,46,41,59
night,46,24,17,62,65,35
night,29,0,58,40,100,0
night,28,41,44,47,40,60
morning,61,107,77,78,36,64
morning,74,91,15,46,44,56
morning,83,95,17,36,46,54
afternoon,130,77,95,55,62,38
evening,87,63,100,38,57,43
morning,119,95,88,85,55,45
morning,56,24,74,14,70,30
night,41,29,26,45,58,42
evening,130,128,69,31,50,50
afternoon,87,55,81,42,61,39
evening,129,129,86,72,50,50
evening,159,87,89,11,64,36
morning,105,53,23,28,66,34
evening,186,173,40,64,51,49
afternoon,153,49,52,46,75,25
evening,71,86,85,86,45,55
afternoon,130,123,22,52,51,49
evening,137,136,99,98,50,50
morning,60,37,96,11,61,39
evening,195,125,39,33,60,40
morning,37,37,53,45,50,50
morning,71,101,50,11,41,59
afternoon,167,107,73,55,60,40
night,2,34,84,69,5,95
night,34,10,89,37,77,23
afternoon,153,52,22,13,74,26
afternoon,92,56,33,68,62,38
evening,127,67,54,71,65,35
night,35,42,16,70,45,55
night,1,38,82,56,2,98
afternoon,116,56,73,90,67,33
afternoon,57,132,99,94,30,70
evening,75,81,98,81,48,52
morning,56,76,99,18,42,58
afternoon,142,102,80,81,58,42
evening,108,76,14,80,58,42
morning,50,115,42,73,30,70
night,1,26,21,48,3,97
night,38,15,49,24,71,29
morning,126,51,23,17,71,29
morning,45,117,97,31,27,73
evening,88,162,13,74,35,65
night,24,34,32,25,41,59
evening,152,173,70,14,46,54
afternoon,168,74,28,15,69,31
night,1,41,31,64,2,98
morning,37,85,66,23,30,70
morning,103,26,51,50,79,21
evening,150,65,10,68,69,31
evening,162,71,14,72,69,31
evening,200,153,63,52,56,44
afternoon,159,149,87,69,51,49
afternoon,153,113,63,94,57,43
morning,49,54,60,17,47,53
morning,114,47,55,57,70,30
night,50,18,30,80,73,27
night,32,13,14,93,71,29
afternoon,155,72,71,79,68,32
evening,87,174,63,44,33,67
night,9,3,11,42,75,25
evening,84,95,17,18,46,54
morning,117,94,98,78,55,45
night,29,36,31,18,44,56
evening,111,81,61,70,57,43
morning,44,46,40,53,48,52
afternoon,115,88,74,56,56,44
night,46,37,64,71,55,45
morning,125,51,34,64,71,29
evening,199,109,83,75,64,36
morning,126,62,77,89,67,33
afternoon,172,124,39,54,58,42
night,16,39,64,17,29,71
afternoon,125,65,38,82,65,35
morning,150,93,64,17,61,39
afternoon,118,133,86,24,47,53
night,19,14,24,22,57,43
morning,119,105,92,22,53,47
night,36,48,77,51,42,58
afternoon,170,138,36,94,55,45
morning,39,21,29,39,65,35
afternoon,139,142,65,77,49,51
morning,110,79,42,14,58,42
morning,48,39,13,51,55,45
evening,150,148,68,100,50,50
evening,137,136,51,75,50,50
afternoon,118,144,75,32,45,55
night,9,39,68,38,18,82
afternoon,55,111,27,94,33,67
evening,148,128,83,91,53,47
night,24,44,36,21,35,65
morning,111,94,50,45,54,46
night,2,21,60,21,8,92
afternoon,76,60,77,45,55,45
night,0,9,35,36,0,100
evening,76,147,12,70,34,66
night,30,36,34,34,45,55
evening,147,138,28,63,51,49
afternoon,66,84,94,41,44,56
night,35,19,62,70,64,36
afternoon,75,117,12,77,39,61
afternoon,100,50,84,94,66,34
night,15,35,62,13,30,70
evening,182,140,95,58,56,44
morning,118,20,19,16,85,15
morning,52,70,74,13,42,58
night,7,17,74,18,29,71
morning,140,117,10,94,54,46
evening,128,71,25,94,64,36
evening,159,60,77,74,72,28
evening,199,107,47,72,65,35
afternoon,97,101,55,14,48,52
evening,155,71,58,99,68,32
night,47,1,22,86,97,3
afternoon,72,46,73,15,61,39
night,15,1,38,16,93,7
night,15,50,87,90,23,77
morning,63,118,42,27,34,66
morning,49,47,34,29,51,49
morning,131,100,84,35,56,44
night,41,18,89,88,69,31
night,36,9,42,29,80,20
morning,145,77,64,95,65,35
evening,173,66,100,94,72,28
night,7,13,38,72,35,65
morning,103,90,20,91,53,47
afternoon,56,62,17,29,47,53
morning,32,36,95,80,47,53
morning,70,88,46,25,44,56
morning,76,50,40,14,60,40
afternoon,134,139,34,78,49,51
afternoon,172,146,98,69,54,46
night,5,5,73,52,50,50
night,46,17,30,96,73,27
afternoon,130,122,77,34,51,49
evening,116,71,25,53,62,38
morning,48,73,59,26,39,61
evening,166,99,51,92,62,38
morning,69,62,28,99,52,48
afternoon,72,99,74,67,42,58
afternoon,171,95,13,79,64,36
afternoon,144,70,71,96,67,33
evening,119,144,53,20,45,55
afternoon,168,139,75,68,54,46
night,21,12,10,78,63,37
evening,136,69,29,16,66,34
afternoon,92,134,91,73,40,60
evening,130,60,98,52,68,32
afternoon,180,74,45,87,70,30
night,7,17,62,61,29,71
evening,84,61,34,89,57,43
morning,48,23,11,37,67,33
evening,192,170,26,83,53,47
morning,111,55,88,96,66,34
evening,138,157,24,10,46,54
night,45,47,55,46,48,52
night,18,32,34,59,36,64
afternoon,80,103,73,14,43,57
morning,110,103,60,10,51,49
afternoon,62,126,87,87,32,68
evening,127,65,26,72,66,34
afternoon,117,46,94,20,71,29
afternoon,156,83,76,33,65,35
afternoon,106,96,59,100,52,48
night,7,32,22,90,17,83
afternoon,53,105,82,61,33,67
evening,136,152,74,63,47,53
afternoon,146,58,75,66,71,29
evening,137,95,40,16,59,41
morning,76,67,39,75,53,47
evening,179,122,36,51,59,41
evening,125,91,70,88,57,43
morning,44,120,97,71,26,74
evening,88,87,12,43,50,50
morning,118,20,17,37,85,15
afternoon,134,143,20,46,48,52
afternoon,117,149,83,53,43,57
evening,199,103,64,42,65,35
night,23,0,78,12,100,0
afternoon,113,122,93,96,48,52
morning,101,45,61,68,69,31
night,36,41,44,85,46,54
evening,95,102,74,69,48,52
evening,191,157,97,66,54,46
morning,85,22,65,22,79,21
night,13,13,39,23,50,50
afternoon,122,143,53,48,46,54
afternoon,98,124,80,11,44,56
evening,101,98,93,83,50,50
afternoon,50,101,39,55,33,67
evening,138,163,49,66,45,55
morning,94,70,71,92,57,43
night,12,17,38,18,41,59
night,17,8,74,80,68,32
evening,85,82,53,93,50,50
morning,107,24,72,65,81,19
afternoon,160,138,61,74,53,47
afternoon,122,90,13,17,57,43
afternoon,97,117,28,76,45,55
night,12,26,65,29,31,69
night,27,18,62,46,60,40
night,13,32,67,25,28,72
night,47,9,95,22,83,17
morning,52,104,20,58,33,67
afternoon,88,78,72,40,53,47
night,33,12,85,47,73,27
evening,197,89,73,71,68,32
afternoon,119,87,93,97,57,43
evening,125,125,82,98,50,50
afternoon,130,58,78,52,69,31
night,43,13,19,48,76,24
evening,157,173,16,40,47,53
morning,145,68,11,63,68,32
afternoon,177,62,69,92,74,26
night,47,28,33,64,62,38
morning,133,72,76,43,64,36
night,0,6,98,80,0,100
night,25,41,86,92,37,63
afternoon,120,131,95,76,47,53
evening,157,169,55,48,48,52
night,42,42,18,21,50,50
night,38,32,64,93,54,46
afternoon,153,120,98,25,56,44
night,16,39,35,47,29,71
night,18,46,70,51,28,72
evening,173,176,70,42,49,51
night,31,3,42,25,91,9
night,2,32,98,77,5,95
morning,143,29,44,48,83,17
morning,64,26,54,62,71,29
afternoon,142,44,46,81,76,24
evening,124,136,87,70,47,53
night,27,47,80,87,36,64
night,46,46,32,52,50,50
morning,147,62,68,11,70,30
night,19,4,26,84,82,18
evening,83,74,61,79,52,48
night,39,19,96,68,67,33
evening,118,89,42,58,57,43
afternoon,126,121,16,79,51,49
evening,191,68,99,16,73,27
morning,132,95,34,53,58,42
evening,119,122,87,69,49,51
morning,149,68,18,67,68,32
afternoon,92,67,85,26,57,43
afternoon,76,87,90,30,46,54
evening,160,104,100,70,60,40
evening,164,116,46,89,58,42
night,18,7,47,22,72,28
night,31,42,100,77,42,58
afternoon,77,128,26,51,37,63
afternoon,52,41,90,97,55,45
night,9,43,48,98,17,83
night,16,50,26,25,24,76
morning,70,104,97,75,40,60
afternoon,114,122,27,71,48,52
night,14,23,98,30,37,63
night,49,0,63,93,100,0
evening,194,163,100,74,54,46
morning,82,102,91,85,44,56
evening,146,74,37,89,66,34
evening,135,176,88,15,43,57
evening,103,135,96,73,43,57
night,42,10,55,14,80,20
morning,129,26,93,33,83,17
evening,172,60,38,17,74,26
afternoon,130,146,11,76,47,53
afternoon,147,77,94,17,65,35
morning,69,93,68,21,42,58
evening,146,141,10,21,50,50
night,26,22,91,58,54,46
evening,74,161,76,92,31,69
night,36,32,96,90,52,48
night,15,19,90,20,44,56
evening,84,111,39,19,43,57
evening,166,99,72,66,62,38
afternoon,95,56,17,65,62,38
night,39,38,85,42,50,50
night,11,35,70,26,23,77
night,21,13,66,12,61,39
afternoon,166,122,73,51,57,43
morning,69,46,82,66,60,40
afternoon,135,42,84,74,76,24
night,34,19,93,63,64,36
night,2,37,29,56,5,95
afternoon,122,141,33,34,46,54
afternoon,86,73,24,91,54,46
morning,107,52,75,42,67,33
evening,168,118,12,21,58,42
afternoon,76,86,39,84,46,54
evening,161,141,39,27,53,47
night,2,40,53,86,4,96
morning,57,65,45,72,46,54
afternoon,68,57,23,79,54,46
afternoon,173,95,86,40,64,36
afternoon,163,130,24,88,55,45
morning,86,33,51,33,72,28
night,24,18,59,98,57,43
night,0,9,75,46,0,100
night,17,23,65,10,42,58
afternoon,94,104,12,76,47,53
afternoon,170,49,37,44,77,23
evening,91,92,24,64,49,51
afternoon,110,95,81,30,53,47
afternoon,118,76,51,67,60,40
afternoon,82,120,57,79,40,60
morning,95,84,69,52,53,47
afternoon,154,70,27,89,68,32
evening,120,113,89,88,51,49
morning,105,53,83,48,66,34
morning,68,73,76,79,48,52
afternoon,124,49,29,19,71,29
night,0,14,42,82,0,100
night,6,39,55,31,13,87
night,15,26,43,28,36,64
morning,106,80,85,36,56,44
morning,36,61,75,84,37,63
evening,171,138,78,28,55,45
morning,118,61,43,16,65,35
morning,56,62,24,58,47,53
night,1,11,87,38,8,92
morning,147,74,43,89,66,34
afternoon,151,133,30,52,53,47
afternoon,75,111,55,32,40,60
afternoon,60,138,82,40,30,70
afternoon,157,51,56,22,75,25
night,14,1,49,50,93,7
night,11,22,97,79,33,67
afternoon,114,41,85,20,73,27
morning,70,100,27,80,41,59
evening,151,103,97,67,59,41
morning,113,77,45,64,59,41
morning,146,47,52,33,75,25
afternoon,74,94,34,26,44,56
evening,113,80,14,26,58,42
afternoon,59,89,91,66,39,61
night,1,34,63,73,2,98
afternoon,136,90,74,68,60,40
night,6,20,57,97,23,77
evening,199,116,71,79,63,37
evening,127,91,54,88,58,42
afternoon,132,119,64,74,52,48
night,40,49,92,10,44,56
night,19,14,57,85,57,43
night,45,24,100,92,65,35
morning,69,84,23,95,45,55
evening,90,76,20,92,54,46
morning,116,57,77,74,67,33
