축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
장산제,장산 일원,2024-10-01,2024-10-01,개막행사+무대공연 등,해운대를 사랑하는 모습,해운대를 사랑하는 모습,부산광역시 해운대구청,051-749-4061,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
동백섬문화관광축제,동백섬 일원,2024-10-01,2024-10-01,최치원추념헌공다례+기로연진다례 등,해운대문화예술원,해운대문화예술원,부산광역시 해운대구청,051-749-4064,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제11회 수영강변축제,수영강시민공원,2024-10-01,2024-10-01,개막행사+무대공연 등,수영강변축제위원회,수영강변축제위원회,부산광역시 해운대구청,051-749-4061,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
반여1동 수영강 콘서트,수영강 시민공원,2024-10-01,2024-10-01,라이브 대중가수 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
해운대 구립예술단(3개) 정기공연,문화회관+영화의 전당,2024-10-01,2024-10-01,3개 예술단 정기 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제19회 부산불꽃축제,동백섬+마린시티 일원,2024-11-01,2024-11-01,불꽃쇼+무대공연 등,부산광역시,부산광역시,,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
달맞이 별다솜 음악회,달맞이 어울마당,2024-11-02,2024-11-02,공연팀+대중가수 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제11회 해운대 빛축제,구남로+해운대해수욕장+등,2024-12-01,2024-12-01,빛시설물 전시+체험프로그램 등,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제37회 해운대북극곰축제,해운대해수욕장 일원,2024-12-01,2024-12-01,북극곰 수영대회+체험프로그램+무대공연 등,부산일보,부산일보,부산광역시 해운대구청,051-749-4064,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
크리스마스 구남로 거리공연,구남로 문화거리,2024-12-01,2024-12-01,크리스마스 버스킹 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
2025 카운트다운&해맞이 축제,해운대해수욕장 일원,2024-12-31,2025-01-01,카운트다운 행사+해맞이 행사+부대 프로그램 등,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
